index,sine
110,1.0807155
111,1.0125775
112,1.0023302
113,1.0347719
114,1.1104299
115,1.2260792
116,1.3758265
117,1.5514001
118,1.7517815
119,1.9593519
120,2.1644907
121,2.3704052
122,2.5558019
123,2.7178218
124,2.850436
125,2.9408238
126,2.9860518
127,2.9972665
128,2.9542398
129,2.8916082
130,2.7661736
131,2.6081746
132,2.425946
133,2.2294316
134,2.0231094
135,1.8118576
136,1.6039675
137,1.425744
138,1.2661078
139,1.1401827
140,1.0474491
141,1.0067298
142,1.0044829
143,1.0460238
144,1.1310847
145,1.2532063
146,1.4082606
147,1.5909683
148,1.7911863
149,2.0000076
