index,sine
110,1.0896134
111,1.0124302
112,1.0012913
113,1.0341907
114,1.1103898
115,1.2256409
116,1.3757322
117,1.5517082
118,1.7490628
119,1.9571061
120,2.1658342
121,2.3721726
122,2.5553925
123,2.7184627
124,2.8483188
125,2.9400146
126,2.9898472
127,2.9965127
128,2.9558182
129,2.8815784
130,2.7618315
131,2.606318
132,2.4253883
133,2.2287197
134,2.0241835
135,1.8112249
136,1.6081985
137,1.4232547
138,1.2680266
139,1.141469
140,1.056345
141,1.0091684
142,1.0044289
143,1.046291
144,1.1302497
145,1.2512697
146,1.4078783
147,1.5908802
148,1.790264
149,1.9997141
