index,sine
110,1.4200597
111,1.2820863
112,1.1765846
113,1.3115988
114,1.2454698
115,1.28959
116,1.3381249
117,1.483122
118,1.5758219
119,1.8604634
120,1.9365308
121,2.0602417
122,2.0664313
123,2.2721386
124,2.3538506
125,2.2132373
126,2.2417758
127,2.3902705
128,2.3185346
129,2.3723965
130,2.2664359
131,2.144308
132,2.0180678
133,2.013953
134,1.9851652
135,1.5925474
136,1.571547
137,1.4349233
138,1.4168179
139,1.545747
140,1.5221608
141,1.256051
142,1.2102156
143,1.2194183
144,1.283496
145,1.3844986
146,1.4515451
147,1.4344016
148,1.5707042
149,1.824399
