index,sine
110,1.0672542
111,1.015188
112,1.0047399
113,1.0352212
114,1.1064197
115,1.2211485
116,1.3724017
117,1.5567846
118,1.7520028
119,1.956253
120,2.167379
121,2.3681974
122,2.5615273
123,2.756153
124,2.8597627
125,2.942014
126,2.9863694
127,2.9898875
128,2.9708338
129,2.8821707
130,2.767244
131,2.6129584
132,2.4327033
133,2.2296999
134,2.0215945
135,1.8146504
136,1.6115276
137,1.425489
138,1.2649665
139,1.1380585
140,1.053594
141,1.0098774
142,1.0080081
143,1.0462453
144,1.1274006
145,1.2509471
146,1.4085697
147,1.5933477
148,1.7932763
149,2.000778
