index,sine
110,1.2240374
111,1.4758961
112,1.2773285
113,1.2611495
114,1.329713
115,1.5521308
116,1.4216305
117,1.4886513
118,1.5935915
119,1.8258946
120,1.9777226
121,2.149343
122,2.1895409
123,2.2333682
124,2.2276914
125,2.2865524
126,2.3753386
127,2.3494549
128,2.39107
129,2.3293374
130,2.3155117
131,2.2080047
132,2.031489
133,2.0730877
134,1.7873453
135,1.6809465
136,1.500242
137,1.4076539
138,1.3421782
139,1.3196977
140,1.4395777
141,1.286927
142,1.2395242
143,1.269307
144,1.2668885
145,1.354072
146,1.357526
147,1.4308754
148,1.686822
149,1.9083608
