index,sine
110,1.0718342
111,1.0267247
112,1.0026959
113,1.0341083
114,1.1029679
115,1.2169306
116,1.3671286
117,1.5339129
118,1.7567078
119,1.9799128
120,2.1651347
121,2.3474138
122,2.5575957
123,2.720369
124,2.8677669
125,2.9126754
126,2.9928129
127,2.993094
128,2.9528804
129,2.8663418
130,2.7305417
131,2.6289768
132,2.4165602
133,2.2285237
134,2.0323017
135,1.8145846
136,1.6106578
137,1.4142754
138,1.2575827
139,1.1383992
140,1.0499669
141,1.0142386
142,1.0120072
143,1.045808
144,1.1261488
145,1.2496107
146,1.4048389
147,1.5888263
148,1.7852578
149,2.0036733
