index,sine
110,1.0673059
111,1.0127587
112,1.000154
113,1.0348569
114,1.1103559
115,1.1916195
116,1.3709675
117,1.4370288
118,1.7517551
119,1.9591596
120,2.1742413
121,2.370702
122,2.561574
123,2.7181594
124,2.8480177
125,2.9449368
126,2.9895809
127,2.9970458
128,2.9596267
129,2.897621
130,2.7607348
131,2.5904818
132,2.4280248
133,2.2345724
134,2.0219593
135,1.8113284
136,1.6110523
137,1.4252621
138,1.2677824
139,1.1410877
140,1.0529437
141,1.0142533
142,1.0026362
143,1.0463662
144,1.1420412
145,1.2539617
146,1.4047315
147,1.5946331
148,1.7988667
149,1.9880781
