index,sine
110,1.0719105
111,1.0128169
112,0.99965644
113,1.0347383
114,1.1100812
115,1.2247815
116,1.3754416
117,1.5559394
118,1.751028
119,1.9586827
120,2.1597295
121,2.370652
122,2.557029
123,2.7212226
124,2.8511684
125,2.940197
126,2.991546
127,2.9961882
128,2.9331646
129,2.8782585
130,2.7580466
131,2.6065397
132,2.4282687
133,2.228139
134,2.0197423
135,1.8108656
136,1.6105419
137,1.4266696
138,1.2667494
139,1.1420524
140,1.0515608
141,1.0065734
142,1.0043792
143,1.0463495
144,1.1303446
145,1.2515976
146,1.4076964
147,1.592014
148,1.7910092
149,1.9998174
