index,sine
110,[1.082803]
111,[1.01986575]
112,[1.00029271]
113,[1.02500988]
114,[1.09290222]
115,[1.20097364]
116,[1.3444365]
117,[1.51693751]
118,[1.71084041]
119,[1.91756223]
120,[2.12762535]
121,[2.33253153]
122,[2.52267623]
123,[2.68966367]
124,[2.82641381]
125,[2.92659556]
126,[2.98555196]
127,[3.00037943]
128,[2.97046178]
129,[2.89824486]
130,[2.78623638]
131,[2.6393999]
132,[2.46424859]
133,[2.26852518]
134,[2.0609005]
135,[1.85056996]
136,[1.64671343]
137,[1.4582901]
138,[1.29375115]
139,[1.1605723]
140,[1.06499367]
141,[1.01171194]
142,[1.00109162]
143,[1.03456184]
144,[1.11149807]
145,[1.22755551]
146,[1.37747386]
147,[1.554997]
148,[1.75226265]
149,[1.96053379]
