index,sine
110,[1.08281373]
111,[1.01986439]
112,[1.00029115]
113,[1.02500472]
114,[1.09290109]
115,[1.20096843]
116,[1.34443582]
117,[1.51693178]
118,[1.71084012]
119,[1.91755693]
120,[2.12762601]
121,[2.3325293]
122,[2.5226769]
123,[2.6896662]
124,[2.82641517]
125,[2.92659488]
126,[2.98553783]
127,[3.00034613]
128,[2.97046392]
129,[2.89824944]
130,[2.78623828]
131,[2.63940404]
132,[2.4642501]
133,[2.26853117]
134,[2.06090148]
135,[1.85057541]
136,[1.64675665]
137,[1.4583079]
138,[1.29375794]
139,[1.1606283]
140,[1.06501773]
141,[1.0117173]
142,[1.00109412]
143,[1.03456016]
144,[1.11146281]
145,[1.2275298]
146,[1.37748392]
147,[1.55498128]
148,[1.75225604]
149,[1.96053219]
