index,random_walk
110,0.48097676
111,0.39719844
112,0.32923502
113,0.26555008
114,0.21244705
115,0.16059221
116,0.15501481
117,0.08521527
118,-0.059932657
119,-0.013303213
120,-0.037049994
121,-0.07696135
122,-0.095041305
123,-0.17409405
124,-0.17740221
125,-0.18252492
126,-0.22797325
127,-0.2705416
128,-0.24255793
129,-0.2713304
130,-0.2515109
131,-0.26965725
132,-0.26241526
133,-0.24653046
134,-0.21103936
135,-0.17504615
136,-0.1261529
137,-0.07881667
138,-0.038000308
139,-0.037804827
140,0.0115636755
141,0.079514585
142,0.08028174
143,0.15164661
144,0.16027425
145,0.25657174
146,0.2319557
147,0.28324938
148,0.3660513
149,0.26566902
