index,random_walk
110,1.4637312
111,1.3910409
112,1.3363737
113,1.2666523
114,1.207095
115,1.1947992
116,1.1411264
117,1.0586948
118,1.0293274
119,0.95249534
120,0.9237208
121,0.88867646
122,0.8756327
123,0.85279286
124,0.81835914
125,0.81565404
126,0.74369687
127,0.7353227
128,0.72427136
129,0.7368722
130,0.7335731
131,0.7235895
132,0.7448854
133,0.75617343
134,0.8040148
135,0.8577334
136,0.9310229
137,0.9507569
138,0.9612316
139,0.97395587
140,1.0616658
141,1.0525181
142,1.0931801
143,1.1582814
144,1.1953305
145,1.2437793
146,1.2519159
147,1.2655053
148,1.2610643
149,1.2674614
