index,random_walk
110,1.4483178
111,1.3878971
112,1.3466333
113,1.2407963
114,1.2276478
115,1.1817704
116,1.1331223
117,1.068358
118,1.0233346
119,0.96271527
120,0.93888074
121,0.90371215
122,0.87555283
123,0.84977525
124,0.8252771
125,0.7905835
126,0.75249326
127,0.7363927
128,0.7461791
129,0.7355552
130,0.70499754
131,0.7182298
132,0.73818415
133,0.751343
134,0.79441804
135,0.8505348
136,0.9149861
137,0.93196326
138,0.9820341
139,0.9886423
140,1.0150226
141,1.0515326
142,1.119286
143,1.1545268
144,1.2098564
145,1.2396604
146,1.253928
147,1.2539167
148,1.2454414
149,1.2554717
