index,random_walk
110,1.4841877
111,1.3945903
112,1.3454361
113,1.2682915
114,1.2046909
115,1.1904366
116,1.1465068
117,1.0714421
118,1.0067987
119,0.96257293
120,0.93222415
121,0.89178133
122,0.88864845
123,0.85779434
124,0.83283067
125,0.7879598
126,0.7744591
127,0.73619443
128,0.73605233
129,0.73146915
130,0.7350276
131,0.72881454
132,0.7489057
133,0.7462732
134,0.7918603
135,0.86812764
136,0.907418
137,0.93908143
138,0.97289383
139,0.99011296
140,1.0310847
141,1.048813
142,1.1088983
143,1.1728715
144,1.1810141
145,1.2310449
146,1.2630924
147,1.2729721
148,1.2776357
149,1.2530711
