index,random_walk
110,1.4886671
111,1.4099274
112,1.3195837
113,1.2936628
114,1.2440718
115,1.2363868
116,1.1667436
117,1.1136309
118,1.0293254
119,1.0072347
120,1.0639299
121,0.92765695
122,0.88811845
123,0.92622334
124,0.8266393
125,0.8912714
126,0.8847221
127,0.7939174
128,0.7820917
129,0.7691077
130,0.7077841
131,0.7657676
132,0.7802457
133,0.7236083
134,0.77703255
135,0.8012265
136,0.86929834
137,0.8930824
138,0.90716743
139,0.94401246
140,1.0412431
141,1.098289
142,1.1104505
143,1.1827371
144,1.2160261
145,1.2243828
146,1.2419337
147,1.2657647
148,1.2706003
149,1.2526106
