index,random_walk
110,1.5130801
111,1.4608222
112,1.4035965
113,1.3492713
114,1.228752
115,1.2470101
116,1.2017046
117,1.141756
118,1.0922511
119,1.0614526
120,1.0268716
121,0.99582
122,0.9594735
123,0.92095923
124,0.9004752
125,0.8822144
126,0.8670238
127,0.8399653
128,0.81453305
129,0.79169434
130,0.7849933
131,0.77958703
132,0.7616591
133,0.7662272
134,0.7856548
135,0.8181112
136,0.85502946
137,0.89775836
138,0.9398156
139,0.9720052
140,1.0218477
141,1.0481765
142,1.0954869
143,1.1260016
144,1.1740816
145,1.2333151
146,1.2820792
147,1.2992684
148,1.3103307
149,1.306021
