index,random_walk
110,1.5398105
111,1.461827
112,1.3700078
113,1.3390795
114,1.2293478
115,1.1727769
116,1.1594342
117,1.1125636
118,1.0570546
119,1.0089065
120,0.96061844
121,0.9103775
122,0.87452036
123,0.855755
124,0.8473799
125,0.8312545
126,0.81804615
127,0.7894772
128,0.75548375
129,0.7459455
130,0.7575218
131,0.7425814
132,0.7393607
133,0.7684371
134,0.7684096
135,0.8216311
136,0.888637
137,0.93476516
138,0.98366076
139,1.031696
140,1.0298725
141,1.0705947
142,1.120021
143,1.1481541
144,1.1700107
145,1.228118
146,1.2779394
147,1.2872392
148,1.2821531
149,1.2813538
