index,random_walk
110,[0.5065582]
111,[0.44591279]
112,[0.37796526]
113,[0.31340403]
114,[0.26193274]
115,[0.21985732]
116,[0.17430189]
117,[0.12977572]
118,[0.06845605]
119,[0.01721]
120,[-0.02896511]
121,[-0.07214485]
122,[-0.10476838]
123,[-0.12890489]
124,[-0.1556363]
125,[-0.18222427]
126,[-0.21059626]
127,[-0.23719919]
128,[-0.25140919]
129,[-0.25726319]
130,[-0.26559136]
131,[-0.27390283]
132,[-0.26974376]
133,[-0.25731795]
134,[-0.23314869]
135,[-0.18835327]
136,[-0.13905207]
137,[-0.10517474]
138,[-0.08075811]
139,[-0.05423563]
140,[-0.01338346]
141,[0.02149239]
142,[0.0614144]
143,[0.10895133]
144,[0.15535375]
145,[0.2021296]
146,[0.23275102]
147,[0.24468395]
148,[0.24855776]
149,[0.25727457]
