index,random_walk
110,[1.50713146]
111,[1.4461083]
112,[1.37820425]
113,[1.3130794]
114,[1.26112119]
115,[1.21975685]
116,[1.17394065]
117,[1.12989708]
118,[1.06900289]
119,[1.01625249]
120,[0.97132302]
121,[0.92712367]
122,[0.89489263]
123,[0.87059167]
124,[0.84446615]
125,[0.81750602]
126,[0.78954924]
127,[0.76248811]
128,[0.74791489]
129,[0.74261379]
130,[0.73420593]
131,[0.72617684]
132,[0.72926098]
133,[0.74292813]
134,[0.76548647]
135,[0.8114902]
136,[0.860213]
137,[0.89616622]
138,[0.9187216]
139,[0.94648538]
140,[0.98510789]
141,[1.02314963]
142,[1.05946012]
143,[1.11044387]
144,[1.15375501]
145,[1.20371855]
146,[1.23219669]
147,[1.24668423]
148,[1.24762679]
149,[1.25833641]
